DATA,LOJA,BANDEIRA,MODALIDADE,MODULO,VALOR\_BRUTO,TAXA\_PERC,TARIFA\_ADQ,DATA\_PREVISTA,LIQUIDO\_PREVISTO
10/01/2026,Matriz,PIX,Débito,Online,"R$ 863,99","0,75%","R$ 2,88",04/02/2026,"R$ 854,63"
07/02/2026,Matriz,Visa,Crédito,Online,"R$ 399,89","2,00%","R$ 10,89",16/02/2026,"R$ 381,00"
28/01/2026,Filial 1,Visa,Débito,Online,"R$ 727,15","0,75%","R$ 8,13",08/02/2026,"R$ 713,57"
07/01/2026,Matriz,Elo,PIX,Online,"R$ 160,53","0,30%","R$ 11,25",05/02/2026,"R$ 148,80"
21/02/2026,Filial 1,Amex,Voucher,POS,"R$ 411,32","7,00%","R$ 2,53",02/02/2026,"R$ 380,00"
22/01/2026,Matriz,Amex,PIX,TEF,"R$ 591,66","0,30%","R$ 5,11",08/01/2026,"R$ 584,78"
12/02/2026,Matriz,PIX,Débito,Online,"R$ 927,70","0,75%","R$ 17,05",16/02/2026,"R$ 903,69"
27/02/2026,Matriz,Mastercard,Voucher,Online,"R$ 470,97","7,00%","R$ 6,57",01/03/2026,"R$ 431,43"
17/01/2026,Matriz,Amex,Débito,TEF,"R$ 415,27","0,75%","R$ 5,71",14/02/2026,"R$ 406,45"
26/01/2026,Matriz,Amex,Débito,TEF,"R$ 154,25","0,75%","R$ 15,33",13/01/2026,"R$ 137,76"
23/01/2026,Matriz,PIX,Crédito,POS,"R$ 934,58","2,00%","R$ 5,05",01/01/2026,"R$ 910,84"
26/02/2026,Filial 1,Amex,Débito,Online,"R$ 583,91","0,75%","R$ 2,23",23/01/2026,"R$ 577,30"
12/02/2026,Matriz,Elo,Débito,POS,"R$ 304,53","0,75%","R$ 3,64",22/02/2026,"R$ 298,61"
14/01/2026,Filial 1,Elo,Débito,Online,"R$ 844,08","0,75%","R$ 2,85",21/01/2026,"R$ 834,90"
21/02/2026,Matriz,Visa,Voucher,Online,"R$ 702,96","7,00%","R$ 7,67",15/02/2026,"R$ 646,08"
01/01/2026,Matriz,Amex,Débito,POS,"R$ 245,61","0,75%","R$ 11,06",07/01/2026,"R$ 232,71"
07/01/2026,Matriz,PIX,PIX,Online,"R$ 157,53","0,30%","R$ 2,13",27/01/2026,"R$ 154,93"
12/02/2026,Matriz,Visa,Débito,TEF,"R$ 561,05","0,75%","R$ 11,32",16/02/2026,"R$ 545,52"
05/01/2026,Matriz,Visa,PIX,Online,"R$ 261,15","0,30%","R$ 2,43",26/01/2026,"R$ 257,94"
05/01/2026,Filial 1,Visa,PIX,POS,"R$ 819,41","0,30%","R$ 8,68",18/02/2026,"R$ 808,27"
06/01/2026,Matriz,Elo,Voucher,TEF,"R$ 11,11","7,00%","R$ 8,16",02/02/2026,"R$ 2,17"
21/01/2026,Filial 1,Amex,PIX,POS,"R$ 702,29","0,30%","R$ 0,41",21/01/2026,"R$ 699,77"
31/01/2026,Matriz,Elo,Voucher,Online,"R$ 770,40","7,00%","R$ 3,40",29/01/2026,"R$ 713,07"
07/01/2026,Filial 1,Elo,Crédito,Online,"R$ 657,87","2,00%","R$ 3,63",16/01/2026,"R$ 641,08"
25/01/2026,Filial 1,Amex,Débito,POS,"R$ 942,84","0,75%","R$ 11,81",12/01/2026,"R$ 923,96"
11/01/2026,Matriz,Mastercard,Voucher,TEF,"R$ 409,11","7,00%","R$ 1,51",02/02/2026,"R$ 378,96"
22/02/2026,Matriz,Amex,Voucher,Online,"R$ 169,19","7,00%","R$ 17,37",18/01/2026,"R$ 139,98"
