DATA;LOJA;BANDEIRA;MODALIDADE;MODULO;VALOR_BRUTO;TAXA_PERCENTUAL;VALOR_TAXA;DATA_PREVISTA;VALOR_LIQUIDO
10/01/2026;Matriz;PIX;Débito;Online;863,99;0,75%;2,88;04/02/2026;854,63
07/02/2026;Matriz;Visa;Crédito;Online;399,89;2,00%;10,89;16/02/2026;381,00
28/01/2026;Filial 1;Visa;Débito;Online;727,15;0,75%;8,13;08/02/2026;713,57
07/01/2026;Matriz;Elo;PIX;Online;160,53;0,30%;11,25;05/02/2026;148,80
21/02/2026;Filial 1;Amex;Voucher;POS;411,32;7,00%;2,53;02/02/2026;380,00
22/01/2026;Matriz;Amex;PIX;TEF;591,66;0,30%;5,11;08/01/2026;584,78
12/02/2026;Matriz;PIX;Débito;Online;927,70;0,75%;17,05;16/02/2026;903,69
27/02/2026;Matriz;Mastercard;Voucher;Online;470,97;7,00%;6,57;01/03/2026;431,43
17/01/2026;Matriz;Amex;Débito;TEF;415,27;0,75%;5,71;14/02/2026;406,45
26/01/2026;Matriz;Amex;Débito;TEF;154,25;0,75%;15,33;13/01/2026;137,76
23/01/2026;Matriz;PIX;Crédito;POS;934,58;2,00%;5,05;01/01/2026;910,84
26/02/2026;Filial 1;Amex;Débito;Online;583,91;0,75%;2,23;23/01/2026;577,30
12/02/2026;Matriz;Elo;Débito;POS;304,53;0,75%;3,64;22/02/2026;298,61
14/01/2026;Filial 1;Elo;Débito;Online;844,08;0,75%;2,85;21/01/2026;834,90
21/02/2026;Matriz;Visa;Voucher;Online;702,96;7,00%;7,67;15/02/2026;646,08
01/01/2026;Matriz;Amex;Débito;POS;245,61;0,75%;11,06;07/01/2026;232,71
07/01/2026;Matriz;PIX;PIX;Online;157,53;0,30%;2,13;27/01/2026;154,93
12/02/2026;Matriz;Visa;Débito;TEF;561,05;0,75%;11,32;16/02/2026;545,52
05/01/2026;Matriz;Visa;PIX;Online;261,15;0,30%;2,43;26/01/2026;257,94
05/01/2026;Filial 1;Visa;PIX;POS;819,41;0,30%;8,68;18/02/2026;808,27
06/01/2026;Matriz;Elo;Voucher;TEF;11,11;7,00%;8,16;02/02/2026;2,17
21/01/2026;Filial 1;Amex;PIX;POS;702,29;0,30%;0,41;21/01/2026;699,77
31/01/2026;Matriz;Elo;Voucher;Online;770,40;7,00%;3,40;29/01/2026;713,07
07/01/2026;Filial 1;Elo;Crédito;Online;657,87;2,00%;3,63;16/01/2026;641,08
25/01/2026;Filial 1;Amex;Débito;POS;942,84;0,75%;11,81;12/01/2026;923,96
11/01/2026;Matriz;Mastercard;Voucher;TEF;409,11;7,00%;1,51;02/02/2026;378,96
22/02/2026;Matriz;Amex;Voucher;Online;169,19;7,00%;17,37;18/01/2026;139,98
14/01/2026;Matriz;Mastercard;Crédito;Online;506,79;2,00%;2,76;12/02/2026;493,89
01/02/2026;Filial 1;PIX;PIX;TEF;893,97;0,30%;6,02;01/01/2026;885,27
30/01/2026;Matriz;PIX;Voucher;Online;80,70;7,00%;0,82;26/02/2026;74,23
26/02/2026;Filial 1;Mastercard;Voucher;Online;290,16;7,00%;8,97;27/01/2026;260,88
23/01/2026;Filial 1;Mastercard;Voucher;TEF;541,17;7,00%;2,28;02/02/2026;501,01
08/02/2026;Matriz;Amex;Crédito;Online;263,18;2,00%;13,76;25/01/2026;244,16
03/01/2026;Matriz;Elo;Voucher;POS;544,37;7,00%;3,91;06/02/2026;502,35
23/01/2026;Matriz;Mastercard;PIX;Online;592,08;0,30%;3,22;09/02/2026;587,08
24/01/2026;Matriz;Elo;Crédito;TEF;654,99;2,00%;9,07;16/02/2026;632,82
10/02/2026;Matriz;Mastercard;Débito;TEF;254,80;0,75%;0,59;05/01/2026;252,30
05/02/2026;Filial 1;Visa;Débito;TEF;356,95;0,75%;2,16;15/02/2026;352,11
16/02/2026;Matriz;Amex;Voucher;TEF;849,28;7,00%;5,61;11/02/2026;784,22
17/02/2026;Filial 1;Amex;Débito;POS;201,59;0,75%;2,91;13/02/2026;197,17
04/01/2026;Matriz;Elo;Voucher;Online;699,11;7,00%;10,41;22/01/2026;639,76
23/01/2026;Filial 1;PIX;Débito;Online;484,54;0,75%;11,78;13/02/2026;469,13
01/01/2026;Filial 1;Visa;PIX;Online;16,63;0,30%;4,62;23/02/2026;11,96
